frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
176, 11.6667, 0.938991, 1, -46.133, 35.7339, 565.275, 17.5312, -15.4297, -0.433784
177, 11.7333, 0.942441, 1, -42.937, 36.0759, 572.704, 15.6813, -17.437, 0.14646
178, 11.8, 0.942442, 1, -38.9297, 36.1738, 580.222, 13.7203, -19.9806, 0.715214
179, 11.8667, 0.935515, 1, -34.2669, 35.1734, 582.306, 12.5888, -22.9659, 1.45893
180, 11.9333, 0.943194, 1, -29.3001, 33.5698, 583.396, 11.8114, -26.1666, 2.27253
181, 12, 0.957965, 1, -24.0096, 31.5618, 582.624, 11.0059, -29.5149, 2.69256
182, 12.0667, 0.826731, 1, -19.4187, 28.7453, 578.959, 8.57459, -34.8292, 2.20212
183, 12.1333, 0.858617, 1, -15.3102, 26.1516, 578.075, 10.6299, -39.8895, 3.81232
184, 12.2, 0.83607, 1, -11.4535, 23.7884, 571.377, 12.2066, -41.7419, 5.39911
185, 12.2667, 0.812202, 1, -8.24936, 20.5063, 573.603, 12.9688, -42.8267, 6.01644
186, 12.3333, 0.844158, 1, -7.08192, 17.5715, 584.91, 12.0769, -40.6038, 5.21644
187, 12.4, 0.837164, 1, -5.3955, 13.5399, 597.524, 11.1689, -39.7677, 4.35854
188, 12.4667, 0.757551, 1, -2.83754, 9.32804, 591.356, 8.7404, -40.2741, 2.45315
189, 12.5333, 0.658577, 0, -1.04473, 5.99144, 583.887, 9.73027, -41.9193, 2.24915
190, 12.6, 0.695437, 0, -3.54533, -2.13862, 611.686, 11.8831, -38.721, -2.39475
191, 12.6667, 0.649476, 0, -0.0544357, -6.05044, 615.445, 4.99697, -39.9254, -8.63638
192, 12.7333, 0.576875, 0, 1.75324, -9.52868, 618.323, -0.0984325, -40.2616, -11.3132
193, 12.8, 0.534759, 0, 2.27038, -13.4153, 624.366, -1.33776, -40.9499, -13.1671
194, 12.8667, 0.494321, 0, 2.85684, -15.0324, 622.08, 0.439319, -40.7767, -13.331
195, 12.9333, 0.47745, 0, 3.56798, -18.6722, 622.267, -1.80847, -39.9765, -15.4826
196, 13, 0.452191, 0, 4.01299, -22.3406, 626.792, -3.09965, -39.8126, -17.4474
197, 13.0667, 0.437436, 0, 4.07279, -26.6163, 633.219, -4.82456, -38.5541, -18.7211
198, 13.1333, 0.460038, 0, 3.79178, -30.7498, 639.569, -6.6357, -37.5988, -20.0347
199, 13.2, 0.444729, 0, 3.55578, -34.8192, 642.265, -8.28608, -36.1798, -22.3212
200, 13.2667, 0.459228, 0, 3.33242, -38.9509, 649.145, -10.3773, -35.4677, -24.9228
201, 13.3333, 0.464556, 0, 3.10606, -41.4237, 645.309, -12.1411, -35.1508, -26.9769
202, 13.4, 0.427359, 0, 2.83443, -42.6241, 639.899, -13.3479, -35.8332, -28.4991
203, 13.4667, 0.434594, 0, 2.05515, -43.9405, 646.109, -14.3437, -36.6727, -29.1379
204, 13.5333, 0.425294, 0, 1.42966, -44.2358, 648.638, -14.561, -36.7211, -28.7117
205, 13.6, 0.422342, 0, 0.57888, -43.1312, 646.786, -13.589, -37.1828, -28.0899
206, 13.6667, 0.40638, 0, -1.13541, -42.9853, 653.268, -12.8813, -36.9977, -27.0679
207, 13.7333, 0.393908, 0, -2.25849, -41.5294, 657.488, -11.4477, -37.4648, -26.2772
208, 13.8, 0.463154, 0, -3.63133, -40.4797, 651.911, -12.8454, -34.9601, -25.6426
209, 13.8667, 0.227428, 0, -3.41498, -40.928, 655.727, -12.3477, -34.2926, -25.1393
210, 13.9333, 0.41172, 0, -2.76701, -40.922, 654.548, -11.9814, -35.5423, -25.6871
211, 14, 0.412139, 0, -2.14955, -41.1258, 655.689, -11.9932, -36.3723, -25.8475
212, 14.0667, 0.465091, 0, -2.47566, -43.7428, 656.172, -12.6924, -34.6275, -26.4266
213, 14.1333, 0.394638, 0, -0.0945187, -44.7285, 655.498, -12.5846, -35.9865, -27.3867
214, 14.2, 0.523184, 0, -0.872018, -45.9637, 639.295, -14.5801, -32.6586, -28.4621
215, 14.2667, 0.530202, 0, -0.148533, -46.6079, 638.631, -15.2384, -33.4319, -29.2723
216, 14.3333, 0.56606, 0, -0.0492483, -47.2311, 638.627, -15.273, -33.1798, -29.9652
217, 14.4, 0.572855, 0, 0.420803, -47.5994, 632.868, -17.9342, -31.8886, -29.8288
218, 14.4667, 0.577269, 0, 0.0896507, -47.0382, 634.383, -16.4536, -31.3523, -29.3079
219, 14.5333, 0.591739, 0, 0.422616, -44.6459, 624.295, -16.3762, -32.3932, -30.3426
220, 14.6, 0.566304, 0, 1.02897, -44.6903, 636.111, -15.5672, -32.8077, -28.8088
221, 14.6667, 0.542955, 0, 1.34526, -42.7731, 642.107, -13.428, -33.6537, -27.4725
222, 14.7333, 0.541228, 0, 1.81522, -39.0285, 640.964, -12.3661, -34.335, -25.916
223, 14.8, 0.546589, 0, 1.94797, -34.2559, 632.078, -11.1545, -34.3584, -24.1283
224, 14.8667, 0.561543, 0, 3.2567, -28.7967, 624.639, -9.87226, -35.3225, -22.2438
